Hora,interval_time,distancia,velocidad,tiempo,aceleracion,p_distancia,ITH,cluster,agua
2023-04-26 09:00:00,0.6666666666666666,0.034666666666666665,0.42533333333333334,0.35333333333333333,-1.8165311908528403,0.03469066666666667,131.0,2.0,0.0
2023-04-26 10:00:00,0.5,0.0545,0.7174999999999999,0.416,-6.963182546665745,0.0543745,129.0,2.0,0.0
2023-04-26 11:00:00,0.5,0.048,0.3445,0.5395000000000001,-3.418347628906636,0.0481205,129.0,1.0,0.0
2023-04-26 12:00:00,0.5,0.014499999999999999,0.3995,0.2695,8.695418113239892,0.0142545,127.0,1.0,0.0
2023-04-26 13:00:00,0.5,0.007,0.1965,0.076,7.522463768115941,0.006499,127.0,0.0,0.0
2023-04-26 14:00:00,0.6666666666666666,0.026,0.6699999999999999,0.30333333333333334,-5.5062032616321845,0.025345999999999997,127.0,2.0,0.0
2023-04-26 15:00:00,0.5,0.0025,0.095,0.0595,-0.9761916225324984,0.002803,126.0,0.5,0.0
2023-04-26 16:00:00,0.6666666666666666,0.014,0.26533333333333337,0.3666666666666667,-0.20363164721141372,0.014034666666666668,125.0,1.3333333333333333,0.0
2023-04-26 17:00:00,0.5,0.0025,0.183,0.081,6.125,0.002616,125.0,0.5,0.0
2023-04-26 18:00:00,0.5,0.006,0.267,0.0605,-6.738308344198172,0.005652,122.0,2.0,0.0
2023-04-26 19:00:00,0.5,0.0655,0.8055000000000001,0.2,-6.022322213305819,0.0656215,122.0,1.0,0.0
2023-04-26 20:00:00,0.5,0.031,0.1105,0.5685,4.631445979201397,0.031213499999999998,120.0,1.0,1.0
2023-04-26 21:00:00,0.6666666666666666,0.010666666666666666,0.09266666666666667,0.20333333333333334,-0.0027957809124412314,0.010939333333333334,122.0,0.6666666666666666,0.0
2023-04-26 22:00:00,0.5,0.006500000000000001,0.12,0.113,-0.170255707240913,0.0062675000000000005,123.0,1.0,0.0
2023-04-26 23:00:00,0.6666666666666666,0.012666666666666666,0.053333333333333344,0.614,-0.13396500253080873,0.012673333333333335,123.0,0.6666666666666666,0.0
2023-04-27 00:00:00,0.6666666666666666,0.007,0.15566666666666665,0.10033333333333333,-0.3797679863771813,0.006940333333333333,125.0,1.0,0.3333333333333333
2023-04-27 01:00:00,0.5,0.00575,0.123,0.2055,-0.1394351688778709,0.00586825,129.0,0.75,0.0
2023-04-27 02:00:00,0.6666666666666666,0.034333333333333334,1.6553333333333333,0.36666666666666664,-7.13113957153928,0.034203000000000004,132.0,1.6666666666666667,0.0
2023-04-27 03:00:00,1.0,0.016,0.1045,0.218,226.79485294117646,0.016046499999999998,135.0,0.5,0.0
2023-04-27 04:00:00,0.6666666666666666,0.014666666666666666,0.32866666666666666,0.11066666666666668,-0.48011482985576254,0.014551,137.0,1.3333333333333333,1.0
2023-04-27 05:00:00,0.6666666666666666,0.04466666666666667,0.119,0.9036666666666666,-0.5956875821492734,0.04459366666666667,138.0,1.6666666666666667,0.0
2023-04-27 06:00:00,0.5714285714285714,0.028571428571428574,0.15885714285714286,0.6785714285714286,0.7172039238780555,0.02860571428571429,137.0,0.8571428571428571,0.5714285714285714
2023-04-27 07:00:00,0.5714285714285714,0.015142857142857142,0.4442857142857143,0.08971428571428572,0.13018824033895296,0.015027142857142859,130.0,1.1428571428571428,0.2857142857142857
2023-04-27 08:00:00,-6.571428571428571,0.026285714285714284,0.19742857142857143,0.49542857142857144,2.709855594220745,0.026320000000000003,123.0,0.5714285714285714,0.0
